player,pitch_mph,ev_mph,launch_angle,distance_ft
"Varsho, Daulton",101.8,102.8,30,408
"Muncy, Max",101.2,102.6,33,422
"Olson, Matt",101,110.8,19,417
"Soto, Juan",100.6,105.8,34,394
"Buxton, Byron",100.5,112.3,35,436
"Swanson, Dansby",100.1,105.3,27,418
"Seager, Corey",100,97.1,33,349
"Seager, Corey",100,105.6,21,405
"Harper, Bryce",99.9,96.1,35,339
"Alonso, Pete",99.9,109,19,394
"Lindor, Francisco",99.8,104.7,24,389
"Allen, Greg",99.8,94.8,34,348
"Kirk, Alejandro",99.8,100.3,34,359
"Matijevic, J.J.",99.7,109.4,29,403
"Happ, Ian",99.6,98,31,378
"Urías, Luis",99.6,109.7,27,388
"Perez, Salvador",99.6,105.4,32,424
"Almora Jr., Albert",99.6,97.5,33,374
"Semien, Marcus",99.6,103.6,33,406
"Duran, Ezequiel",99.5,102,33,402
"Happ, Ian",99.5,111.6,37,407
"Bellinger, Cody",99.5,101.2,26,395
"Huff, Sam",99.5,108.9,24,443
"Verdugo, Alex",99.5,103.7,27,396
"Happ, Ian",99.4,100.8,27,383
"Cruz, Oneil",99.4,108.7,36,411
"Stanton, Giancarlo",99.3,113.3,24,457
"Gurriel Jr., Lourdes",99.3,102.3,24,398
"Guerrero Jr., Vladimir",99.3,110.6,21,429
"Mountcastle, Ryan",99.2,102.7,27,395
"Bogaerts, Xander",99.2,101.2,34,393
"Meneses, Joey",99.2,99.2,32,360
"Smith, Pavin",99.1,105.6,33,417
"Marsh, Brandon",99.1,99,30,362
"Seager, Corey",99.1,102,25,409
"Lindor, Francisco",99.1,101.7,22,404
"Harris II, Michael",99,111.2,26,419
"Swanson, Dansby",99,102.1,27,379
"Luplow, Jordan",99,104.7,24,368
"Naylor, Josh",99,110.1,23,421
"Olson, Matt",99,105.2,23,362
"Riley, Austin",98.9,112,26,410
"Maton, Nick",98.9,107.3,24,408
"Hernandez, Yadiel",98.9,100.4,29,353
"Turner, Trea",98.9,103.8,26,398
"Bichette, Bo",98.9,93.7,35,333
"Mitchell, Cal",98.9,107.3,21,377
"Trout, Mike",98.8,108.8,32,445
"García, Avisaíl",98.8,106.3,32,411
"d'Arnaud, Travis",98.8,100.9,29,343
"Yelich, Christian",98.8,110.6,22,434
"Olson, Matt",98.7,110.1,24,430
"Machado, Manny",98.7,107.4,28,425
"Moncada, Yoán",98.7,109.7,27,417
"Clemens, Kody",98.7,105.1,36,363
"Springer, George",98.7,108.8,20,413
"Santana, Carlos",98.7,107.6,33,423
"Peña, Jeremy",98.7,99.1,33,385
"Calhoun, Kole",98.7,108.1,23,355
"Devers, Rafael",98.6,101.4,35,382
"García, Luis",98.5,108.6,24,420
"Rizzo, Anthony",98.5,104,30,418
"Alcántara, Sergio",98.5,96.6,39,386
"Arenado, Nolan",98.5,96.2,28,379
"Turner, Trea",98.4,106.3,21,419
"Varsho, Daulton",98.4,109.3,32,451
"Canha, Mark",98.4,101.1,27,385
"Devers, Rafael",98.4,103.2,39,363
"Walker, Christian",98.4,101.1,31,433
"Trout, Mike",98.4,106.8,32,414
"Bellinger, Cody",98.4,103.1,38,390
"Grisham, Trent",98.3,106,24,396
"Soto, Juan",98.3,108,30,440
"Renfroe, Hunter",98.3,110.1,19,400
"Swanson, Dansby",98.3,104.1,30,418
"Gamel, Ben",98.3,103.7,26,397
"Acuña Jr., Ronald",98.3,102.2,32,383
